match_id,match,ground,team1,team2,predicted_score,actual_score,predicted_result,actual_result,result_hit,exact_score_hit,expected_goals1,expected_goals2,actual_goals1,actual_goals2,predicted_expected_total_goals,actual_total_goals,score_mae,expected_goal_mae,brier_score,log_loss,team1_is_host,team2_is_host
1,Mexico vs South Africa,Mexico City,Mexico,South Africa,2-0,2-0,Mexico,Mexico,True,True,2.839,0.748,2,0,3.5869999999999997,2,0.0,0.7935,0.03309632672266665,0.29223910664439506,True,False
2,South Korea vs Czech Republic,Guadalajara (Zapopan),South Korea,Czech Republic,2-1,2-1,South Korea,South Korea,True,True,1.879,0.984,2,1,2.863,3,0.0,0.0685,0.10291437565400001,0.6011169192668848,False,False
7,Canada vs Bosnia & Herzegovina,Toronto,Canada,Bosnia & Herzegovina,2-0,1-1,Canada,Draw,False,False,2.496,0.77,1,1,3.266,2,1.0,0.863,0.3689587145406667,1.5540457797729883,True,False
19,USA vs Paraguay,Los Angeles (Inglewood),USA,Paraguay,2-1,4-1,USA,USA,True,False,1.579,1.02,4,1,2.599,5,1.0,1.2205000000000001,0.15079829206066667,0.7936970636654213,True,False
